ts_event_et,trade_count,total_volume,avg_trade_size,price_range,buy_sell_ratio,realized_vol
2025-06-30 00:00:00-04:00,272903,1015082,3.7195706899521075,68.75,1.0087864941294742,0.0002818489851447936
2025-07-01 00:00:00-04:00,318819,1065286,3.3413504213989755,74.5,0.9819053182662147,0.00026872967440780954
2025-07-02 00:00:00-04:00,225778,770383,3.4121260707420564,87.25,0.9904171597174496,0.0001661593107405627
2025-07-03 00:00:00-04:00,142021,538771,3.7936009463389215,88.5,1.0073285593997063,0.00028692769050673857
2025-07-07 00:00:00-04:00,320307,1005404,3.1388761407025134,112.25,1.002780854335822,0.00031543210043194226
2025-07-08 00:00:00-04:00,273555,878207,3.2103489243479375,72.25,0.9931843714892024,0.00023725153388953985
2025-07-09 00:00:00-04:00,264069,928909,3.5176753045605507,79.75,1.0069634843780721,0.00029858417278330694
2025-07-10 00:00:00-04:00,210969,731612,3.467864946982732,89.5,1.0212900569963503,0.00015736844514088093
2025-07-11 00:00:00-04:00,235202,791186,3.36385745019175,84.5,0.9758853806368797,0.00031330533251201407
2025-07-14 00:00:00-04:00,210504,713959,3.3916647664652455,83.0,1.0412709213693883,0.00019406472715561136
2025-07-15 00:00:00-04:00,280540,958425,3.4163577386468953,68.75,0.9419713412706775,0.00033451925805934573
2025-07-16 00:00:00-04:00,394070,1215597,3.0847235262770574,109.75,1.0094970293887187,0.0004131767007343095
2025-07-17 00:00:00-04:00,220855,802236,3.6324104050168664,98.5,0.9916286829326422,0.00015777905970154162
2025-07-18 00:00:00-04:00,238410,798613,3.3497462354766996,80.5,0.9506054936519645,0.0006344446104380329
2025-07-21 00:00:00-04:00,199159,746832,3.7499284491285856,142.0,1.0174125388648625,0.00017711675302536922
2025-07-22 00:00:00-04:00,265921,918855,3.4553683236750765,86.25,0.9841609173063842,0.0002241568567888521
2025-07-23 00:00:00-04:00,279212,925111,3.313292408635732,96.5,1.0594084752856112,0.0002592110727853723
2025-07-24 00:00:00-04:00,247014,836455,3.386265555798457,72.25,1.0118117622158298,0.00018246479165384742
2025-07-25 00:00:00-04:00,174313,611103,3.5057798328294503,71.5,1.0177339153288913,0.0001290730669800363
2025-07-28 00:00:00-04:00,206554,726934,3.5193411892289665,76.25,1.000990952057189,0.0001509475230271118
2025-07-29 00:00:00-04:00,276816,935057,3.3779008438818567,93.25,0.9971443644448811,0.00022644205627653179
